read amount,comments,title,content link,author,create time
69,0,时代电气本周融资净偿还397.22万元，居交运设备板块第七,"/news,688187,1338456784.html",大眼看两融,08-06 03:10
71,0,时代电气本周沪股通持股市值减少2722.21万元，居交运设备板块第三,"/news,688187,1338451275.html",胖猫周周见,08-06 02:15
99,0,时代电气08月04日被沪股通减持7.53万股,"/news,688187,1338348322.html",时代电气资讯,08-05 09:11
62,0,时代电气：连续3日融资净偿还累计332.67万元（08-04）,"/news,688187,1338336672.html",时代电气资讯,08-05 07:43
71,0,时代电气08月03日被沪股通减持8.29万股,"/news,688187,1338022893.html",时代电气资讯,08-04 10:41
67,0,时代电气：融资净偿还72.6万元，融资余额2.93亿元（08-03）,"/news,688187,1337884374.html",时代电气资讯,08-04 07:46
96,1,时代电气08月02日被沪股通减持10.3万股,"/news,688187,1337523123.html",时代电气资讯,08-03 09:54
62,0,时代电气：融资净偿还147.02万元，融资余额2.93亿元（08-02）,"/news,688187,1337455218.html",时代电气资讯,08-03 07:44
109,0,时代电气08月01日被沪股通减持45.44万股,"/news,688187,1337049423.html",时代电气资讯,08-02 09:15
61,0,时代电气：融资净买入445.56万元，融资余额2.95亿元（08-01）,"/news,688187,1337035383.html",时代电气资讯,08-02 08:05
557,0,时代电气拟超8亿投设控股子公司 推动新能源乘用车电驱产业发展,"/news,688187,1337001303.html",时代电气资讯,08-01 10:31
330,0,计划出资8.33亿元 时代电气拟成立新能源乘用车电驱产业发展平台公司,"/news,688187,1336998445.html",时代电气资讯,08-01 10:15
330,0,时代电气：拟设控股子公司作为新能源乘用车电驱产业发展平台,"/news,688187,1336957644.html",时代电气资讯,08-01 07:18
519,4,时代电气：设控股子公司 作为新能源乘用车电驱产业发展平台,"/news,688187,1336929084.html",时代电气资讯,08-01 05:14
438,1,时代电气：拟8.33亿元设立控股子公司湖南中车电驱技术,"/news,688187,1336926837.html",时代电气资讯,08-01 05:06
81,0,时代电气07月31日获沪股通增持10.62万股,"/news,688187,1336599717.html",时代电气资讯,08-01 09:10
59,0,时代电气：融资净偿还510.11万元，融资余额2.9亿元（07-31）,"/news,688187,1336585290.html",时代电气资讯,08-01 07:48
131,0,时代电气本周融资净偿还480.66万元，居交运设备板块第三,"/news,688187,1336045606.html",大眼看两融,07-30 03:08
