read amount,comments,title,content link,author,create time
67,0,奇安信连续2周融资净偿还合计1284.62万元,"/news,688561,1338454887.html",大眼看两融,08-06 03:06
72,0,沪股通连续4周净卖出奇安信 累计净卖出5292.33万元,"/news,688561,1338449655.html",胖猫周周见,08-06 02:10
141,0,奇安信08月04日获沪股通增持2.94万股,"/news,688561,1338348090.html",奇安信-U资讯,08-05 09:09
94,0,奇安信：融资净买入66.53万元，融资余额8.2亿元（08-04）,"/news,688561,1338336566.html",奇安信-U资讯,08-05 07:42
477,0,奇安信：聘任杨景岩女士为公司财务总监,"/news,688561,1338282029.html",奇安信-U资讯,08-04 08:09
80,0,奇安信08月03日获沪股通增持4.36万股,"/news,688561,1337969691.html",奇安信-U资讯,08-04 10:01
62,0,奇安信：连续6日融资净偿还累计1335.44万元（08-03）,"/news,688561,1337883429.html",奇安信-U资讯,08-04 07:41
81,0,奇安信08月02日被沪股通减持13.49万股,"/news,688561,1337510593.html",奇安信-U资讯,08-03 09:45
69,0,奇安信：连续5日融资净偿还累计1138.66万元（08-02）,"/news,688561,1337455449.html",奇安信-U资讯,08-03 07:45
110,0,奇安信08月01日获沪股通增持6.09万股,"/news,688561,1337051178.html",奇安信-U资讯,08-02 09:19
86,0,奇安信：连续4日融资净偿还累计1138.5万元（08-01）,"/news,688561,1337035513.html",奇安信-U资讯,08-02 08:06
124,0,奇安信07月31日被沪股通减持7.05万股,"/news,688561,1336600604.html",奇安信-U资讯,08-01 09:14
78,0,奇安信：连续3日融资净偿还累计866.05万元（07-31）,"/news,688561,1336585649.html",奇安信-U资讯,08-01 07:50
108,0,奇安信本周融资净偿还756.49万元，居软件开发板块第十七,"/news,688561,1336044232.html",大眼看两融,07-30 03:05
128,0,沪股通连续3周净卖出奇安信 累计净卖出4928.68万元,"/news,688561,1336038702.html",胖猫周周见,07-30 02:10
134,0,奇安信：融资净偿还458.66万元，融资余额8.25亿元（07-28）,"/news,688561,1335946036.html",奇安信-U资讯,07-29 07:49
177,0,奇安信07月27日被沪股通减持16.67万股,"/news,688561,1335537061.html",奇安信-U资讯,07-28 09:49
89,0,奇安信：融资净偿还282.12万元，融资余额8.3亿元（07-27）,"/news,688561,1335476546.html",奇安信-U资讯,07-28 07:51
88,0,奇安信：融资净买入216.95万元，融资余额8.32亿元（07-26）,"/news,688561,1335019889.html",奇安信-U资讯,07-27 07:40
116,0,奇安信07月25日被沪股通减持3.43万股,"/news,688561,1334568242.html",奇安信-U资讯,07-26 09:17
86,1,奇安信：连续3日融资净偿还累计570.3万元（07-25）,"/news,688561,1334551238.html",奇安信-U资讯,07-26 07:39
104,0,奇安信07月24日获沪股通增持4.16万股,"/news,688561,1334112428.html",奇安信-U资讯,07-25 09:15
105,2,奇安信：融资净偿还99.26万元，融资余额8.32亿元（07-24）,"/news,688561,1334096168.html",奇安信-U资讯,07-25 07:44
546,3,开展一系列深度合作 奇安信助力重庆打造“三个城”,"/news,688561,1333972618.html",奇安信-U资讯,07-24 04:59
668,6,奇安信集团董事长齐向东：以网络和数据安全为切入点 助重庆打造“三个城”,"/news,688561,1333971084.html",奇安信-U资讯,07-24 04:55
194,2,奇安信连续4周融资净买入合计3663.01万元,"/news,688561,1333573585.html",大眼看两融,07-23 03:06
130,1,沪股通连续2周净卖出奇安信 累计净卖出4130.4万元,"/news,688561,1333567985.html",胖猫周周见,07-23 02:12
210,0,奇安信07月21日被沪股通减持27.6万股,"/news,688561,1333499488.html",奇安信-U资讯,07-22 10:40
138,1,奇安信：融资净偿还337.64万元，融资余额8.33亿元（07-21）,"/news,688561,1333488222.html",奇安信-U资讯,07-22 07:50
113,0,奇安信07月20日被沪股通减持4.8万股,"/news,688561,1333118283.html",奇安信-U资讯,07-21 09:41
74,0,奇安信：融资净买入93.73万元，融资余额8.36亿元（07-20）,"/news,688561,1333062132.html",奇安信-U资讯,07-21 07:45
112,1,奇安信07月19日被沪股通减持8.16万股,"/news,688561,1332598760.html",奇安信-U资讯,07-20 09:17
82,0,奇安信：融资净偿还134.85万元，融资余额8.35亿元（07-19）,"/news,688561,1332580013.html",奇安信-U资讯,07-20 07:46
119,1,奇安信07月18日获沪股通增持12.42万股,"/news,688561,1332160941.html",奇安信-U资讯,07-19 09:13
94,0,奇安信：连续5日融资净买入累计2058.99万元（07-18）,"/news,688561,1332144581.html",奇安信-U资讯,07-19 07:44
91,0,奇安信：连续4日融资净买入累计1666.21万元（07-17）,"/news,688561,1331715884.html",奇安信-U资讯,07-18 07:41
91,0,奇安信连续3周融资净买入合计3026.65万元,"/news,688561,1331236367.html",大眼看两融,07-16 03:05
69,0,奇安信本周沪股通持股市值减少2783.5万元，居软件开发板块第八,"/news,688561,1331231570.html",胖猫周周见,07-16 02:13
171,1,奇安信07月14日被沪股通减持10.66万股,"/news,688561,1331152101.html",奇安信-U资讯,07-15 08:55
69,0,奇安信：连续3日融资净买入累计1043.87万元（07-14）,"/news,688561,1331146142.html",奇安信-U资讯,07-15 07:47
115,1,奇安信07月13日被沪股通减持18.03万股,"/news,688561,1330710261.html",奇安信-U资讯,07-14 09:13
68,0,奇安信：融资净买入39.68万元，融资余额8.17亿元（07-13）,"/news,688561,1330694886.html",奇安信-U资讯,07-14 07:45
1166,3,《生成式人工智能服务管理暂行办法》发布 奇安信副总裁张卓：促进发展和防范风险需两者并重,"/news,688561,1330656541.html",奇安信-U资讯,07-13 10:27
135,0,奇安信07月12日被沪股通减持20.9万股,"/news,688561,1330242269.html",奇安信-U资讯,07-13 09:14
95,0,奇安信：融资净买入90.6万元，融资余额8.17亿元（07-12）,"/news,688561,1330224072.html",奇安信-U资讯,07-13 07:41
117,0,奇安信07月11日被沪股通减持6.55万股,"/news,688561,1329749474.html",奇安信-U资讯,07-12 09:21
84,0,奇安信：融资净偿还225.06万元，融资余额8.16亿元（07-11）,"/news,688561,1329729883.html",奇安信-U资讯,07-12 07:38
94,0,奇安信：融资净偿还427.53万元，融资余额8.18亿元（07-10）,"/news,688561,1329296511.html",奇安信-U资讯,07-11 07:39
615,2,奇安信齐向东：内生安全的核心要义是“三个融合”,"/news,688561,1329275350.html",奇安信-U资讯,07-10 11:32
108,0,奇安信连续2周融资净买入合计2635.37万元,"/news,688561,1328841900.html",大眼看两融,07-09 03:06
129,0,奇安信本周沪股通持股市值增加6144.91万元，居软件开发板块第七,"/news,688561,1328836773.html",胖猫周周见,07-09 02:13
187,0,奇安信07月07日被沪股通减持7.26万股,"/news,688561,1328767927.html",奇安信-U资讯,07-08 09:41
105,0,奇安信：融资净买入261.6万元，融资余额8.22亿元（07-07）,"/news,688561,1328759853.html",奇安信-U资讯,07-08 07:43
679,10,奇安信齐向东：网络攻击成为数智时代社会安全事故的最主要诱因,"/news,688561,1328709890.html",奇安信-U资讯,07-07 06:03
747,4,奇安信集团董事长齐向东回应每经：AI会使固有的社会治理模式发生变化,"/news,688561,1328557979.html",奇安信-U资讯,07-07 12:10
