read amount,comments,title,content link,author,create time
77,0,中兴通讯：融资净买入6564.91万元，融资余额34.3亿元（08-04）,"/news,000063,1338533115.html",中兴通讯资讯,08-07 08:44
175,0,中兴通讯本周融资净买入7746.83万元，居通信设备板块第二,"/news,000063,1338453886.html",大眼看两融,08-06 03:04
246,0,中兴通讯本周被深股通减持6.36亿元，周内减持市值两市排名第五,"/news,000063,1338448913.html",胖猫周周见,08-06 02:08
529,3,中兴通讯08月04日被深股通减持321.25万股,"/news,000063,1338338390.html",中兴通讯资讯,08-05 07:51
134,0,中兴通讯：融资净偿还5891.5万元，两市排名第15（08-03）,"/news,000063,1337893622.html",中兴通讯资讯,08-04 08:47
295,1,中兴通讯08月03日被深股通减持97.71万股,"/news,000063,1337885152.html",中兴通讯资讯,08-04 07:50
174,19,中兴通讯：融资净偿还1797.49万元，融资余额34.23亿元（08-02）,"/news,000063,1337462919.html",中兴通讯资讯,08-03 08:44
447,23,中兴通讯08月02日被深股通减持477.6万股,"/news,000063,1337458130.html",中兴通讯资讯,08-03 08:07
273,1,信达证券维持中兴通讯买入评级 预计2023年净利润同比增长26.11%,"/news,000063,1337451492.html",公司研报提示,08-03 07:12
1954,49,中兴通讯股东户数增加4.62%，户均持股61.3万元,"/news,000063,1337382651.html",中兴通讯资讯,08-02 06:49
5491,48,中兴通讯：截至7月31日 公司股东总数为25.7万户,"/news,000063,1337373742.html",中兴通讯资讯,08-02 05:56
234,15,中兴通讯：连续3日融资净买入累计1.72亿元（08-01）,"/news,000063,1337042173.html",中兴通讯资讯,08-02 08:47
521,19,中兴通讯08月01日被深股通减持447.21万股,"/news,000063,1337031522.html",中兴通讯资讯,08-02 07:42
326,21,中兴通讯：融资净买入1.06亿元，融资余额33.93亿元（07-31）,"/news,000063,1336592636.html",中兴通讯资讯,08-01 08:41
495,19,中兴通讯07月31日被深股通减持251.68万股,"/news,000063,1336585175.html",中兴通讯资讯,08-01 07:47
163,0,中兴通讯：融资净买入1741.83万元，融资余额32.86亿元（07-28）,"/news,000063,1336115811.html",中兴通讯资讯,07-31 08:44
197,0,中兴通讯本周融资净偿还6903.57万元，居通信设备板块第二,"/news,000063,1336043378.html",大眼看两融,07-30 03:04
282,0,中兴通讯本周深股通持股市值增加3820.96万元，居通信设备板块第四,"/news,000063,1336037947.html",胖猫周周见,07-30 02:08
704,2,中兴通讯07月28日被深股通减持470.88万股,"/news,000063,1335947876.html",中兴通讯资讯,07-29 08:13
299,27,中兴通讯：融资净偿还1138.81万元，融资余额32.69亿元（07-27）,"/news,000063,1335482919.html",中兴通讯资讯,07-28 08:40
586,26,中兴通讯07月27日获深股通增持77.2万股,"/news,000063,1335479393.html",中兴通讯资讯,07-28 08:11
281,30,中兴通讯：融资净偿还7976.91万元，两市排名第十（07-26）,"/news,000063,1335028893.html",中兴通讯资讯,07-27 08:44
745,32,中兴通讯07月26日获深股通增持842.09万股,"/news,000063,1335022444.html",中兴通讯资讯,07-27 07:56
3212,71,大宗交易：中兴通讯成交472.67万元，折价0.03%（07-26）,"/news,000063,1334892971.html",中兴通讯资讯,07-26 05:46
259,28,中兴通讯：融资净买入5732.36万元，融资余额33.6亿元（07-25）,"/news,000063,1334559115.html",中兴通讯资讯,07-26 08:39
474,31,中兴通讯07月25日被深股通减持21.04万股,"/news,000063,1334554023.html",中兴通讯资讯,07-26 07:56
210,29,中兴通讯：融资净偿还3520.2万元，两市排名第18（07-24）,"/news,000063,1334104101.html",中兴通讯资讯,07-25 08:42
386,28,中兴通讯07月24日被深股通减持318.93万股,"/news,000063,1334098527.html",中兴通讯资讯,07-25 08:00
8087,71,华为、中兴通讯等收获中国移动集采订单,"/news,000063,1334080523.html",中兴通讯资讯,07-25 12:38
675,2,招商证券维持中兴通讯强烈推荐评级 预计2023年净利润同比增长29.52%,"/news,000063,1333758714.html",公司研报提示,07-24 10:18
171,29,中兴通讯：融资净买入873.5万元，融资余额33.38亿元（07-21）,"/news,000063,1333668517.html",中兴通讯资讯,07-24 08:42
14257,48,北向资金大调仓！加仓通信龙头超11亿元,"/news,000063,1333603891.html",中兴通讯资讯,07-23 06:42
116,0,中兴通讯本周融资净偿还1.02亿元，居通信设备板块第四,"/news,000063,1333572171.html",大眼看两融,07-23 03:04
166,0,中兴通讯本周获深股通增持11.6亿元，周内增持市值两市排名第一,"/news,000063,1333567002.html",胖猫周周见,07-23 02:08
45851,109,越跌越买！主力合抢 1900亿巨头火了,"/news,000063,1333551588.html",中兴通讯资讯,07-23 07:25
27190,83,越跌越买！A股近2000亿巨头火了 外资加仓2500万股！持股市值超60亿,"/news,000063,1333491556.html",中兴通讯资讯,07-22 08:45
499,29,中兴通讯07月21日获深股通增持313.13万股,"/news,000063,1333489428.html",中兴通讯资讯,07-22 08:06
4116,40,中兴通讯获深股通连续3日净买入,"/news,000063,1333452709.html",中兴通讯资讯,07-21 09:39
2643,34,中兴通讯股东户数增加1385户，户均持股65.84万元,"/news,000063,1333414135.html",中兴通讯资讯,07-21 06:13
183,29,中兴通讯：融资净偿还7387.7万元，两市排名第17（07-20）,"/news,000063,1333071020.html",中兴通讯资讯,07-21 08:44
466,29,中兴通讯07月20日获深股通增持1719.51万股,"/news,000063,1333064087.html",中兴通讯资讯,07-21 08:00
44800,112,7月20日北向资金最新动向（附十大成交股）,"/news,000063,1332953689.html",中兴通讯资讯,07-20 06:04
249,30,中兴通讯7月20日盘中跌幅达5%,"/news,000063,1332879996.html",中兴通讯资讯,07-20 02:44
248,29,中兴通讯：融资净偿还1.11亿元，两市排名第二（07-19）,"/news,000063,1332588208.html",中兴通讯资讯,07-20 08:41
473,29,中兴通讯07月19日获深股通增持919.64万股,"/news,000063,1332583332.html",中兴通讯资讯,07-20 08:08
47389,63,7月19日北向资金最新动向（附十大成交股）,"/news,000063,1332483784.html",中兴通讯资讯,07-19 05:59
246,30,中兴通讯：融资净偿还298.4万元，融资余额35.14亿元（07-18）,"/news,000063,1332153238.html",中兴通讯资讯,07-19 08:42
529,29,中兴通讯07月18日被深股通减持136.03万股,"/news,000063,1332145777.html",中兴通讯资讯,07-19 07:52
494,26,中兴通讯：融资净买入8579.06万元，两市排名第12（07-17）,"/news,000063,1331724007.html",中兴通讯资讯,07-18 08:52
447,55,中兴通讯：融资净偿还4685.15万元，融资余额34.31亿元（07-14）,"/news,000063,1331301019.html",中兴通讯资讯,07-17 08:39
213,0,中兴通讯本周融资净偿还5075.55万元，居通信设备板块第五,"/news,000063,1331235399.html",大眼看两融,07-16 03:03
276,0,中兴通讯本周被深股通减持4.52亿元，周内减持市值两市排名第四,"/news,000063,1331230320.html",胖猫周周见,07-16 02:09
721,28,中兴通讯07月14日被深股通减持1067.64万股,"/news,000063,1331147010.html",中兴通讯资讯,07-15 07:54
232,27,中兴通讯7月14日盘中涨幅达5%,"/news,000063,1330899120.html",中兴通讯资讯,07-14 01:01
191,1,中兴通讯：融资净买入7040.78万元，两市排名第十（07-13）,"/news,000063,1330703770.html",中兴通讯资讯,07-14 08:47
386,1,中兴通讯07月13日被深股通减持596.09万股,"/news,000063,1330696278.html",中兴通讯资讯,07-14 07:53
6426,26,中兴通讯开启新一轮组织架构调整：两大营销事业部重组 强化政企业务,"/news,000063,1330639410.html",中兴通讯资讯,07-13 09:14
3932,68,中兴通讯联合广州移动实现首个地铁大带宽解决方案商用部署,"/news,000063,1330520005.html",中兴通讯资讯,07-13 02:35
263,24,中兴通讯：融资净偿还6170.91万元，融资余额34.08亿元（07-12）,"/news,000063,1330234575.html",中兴通讯资讯,07-13 08:45
688,23,中兴通讯07月12日获深股通增持1416万股,"/news,000063,1330226164.html",中兴通讯资讯,07-13 07:52
254,26,中兴通讯7月12日盘中跌幅达5%,"/news,000063,1330034965.html",中兴通讯资讯,07-12 02:43
6112,44,中兴通讯：截至7月10日，公司股东总数24.43万户,"/news,000063,1329943689.html",中兴通讯资讯,07-12 01:11
186,0,中兴通讯：融资净买入7534.28万元，两市排名第十（07-11）,"/news,000063,1329738335.html",中兴通讯资讯,07-12 08:43
509,3,中兴通讯07月11日被深股通减持1081.25万股,"/news,000063,1329733003.html",中兴通讯资讯,07-12 08:00
4734,17,中兴通讯股东户数下降4.62%，户均持股69.85万元,"/news,000063,1329636931.html",中兴通讯资讯,07-11 06:59
312,30,中兴通讯：融资净偿还1.35亿元，两市排名第五（07-10）,"/news,000063,1329305107.html",中兴通讯资讯,07-11 08:43
688,34,中兴通讯07月10日获深股通增持332.3万股,"/news,000063,1329298421.html",中兴通讯资讯,07-11 07:53
4989,71,中兴通讯：公司已启动6G关键技术研究 与业界同行开展交流合作,"/news,000063,1329218748.html",中兴通讯资讯,07-10 06:41
332,30,中兴通讯：融资净买入7798.35万元，两市排名第五（07-07）,"/news,000063,1328901550.html",中兴通讯资讯,07-10 08:47
265,0,中兴通讯本周融资净偿还2.11亿元，两市排名第七,"/news,000063,1328840421.html",大眼看两融,07-09 03:03
443,1,中兴通讯本周获深股通增持11.4亿元，周内增持市值两市排名第一,"/news,000063,1328835081.html",胖猫周周见,07-09 02:05
766,34,中兴通讯07月07日获深股通增持392.13万股,"/news,000063,1328760827.html",中兴通讯资讯,07-08 07:51
316,29,中兴通讯：融资净偿还2.4亿元，两市排名第一（07-06）,"/news,000063,1328373472.html",中兴通讯资讯,07-07 08:40
568,31,中兴通讯07月06日获深股通增持1026.1万股,"/news,000063,1328367710.html",中兴通讯资讯,07-07 07:56
35784,66,7月6日北向资金最新动向（附十大成交股）,"/news,000063,1328249789.html",中兴通讯资讯,07-06 06:01
5263,72,北向资金丨中兴通讯获净买入4.44亿元,"/news,000063,1328240677.html",中兴通讯资讯,07-06 05:33
187,0,中兴通讯：融资净偿还2.23亿元，两市排名第一（07-05）,"/news,000063,1327914928.html",中兴通讯资讯,07-06 08:40
336,0,中兴通讯07月05日获深股通增持627.01万股,"/news,000063,1327908202.html",中兴通讯资讯,07-06 07:52
3016,45,地铁看高清视频不卡顿 上海电信携中兴通讯首发5G车地系统实现商用,"/news,000063,1327890009.html",中兴通讯资讯,07-06 01:15
2110,8,“5G车地系统”覆盖方案落地上海,"/news,000063,1327771166.html",中兴通讯资讯,07-05 04:40
205,0,中兴通讯：融资净买入6413.32万元，融资余额39.14亿元（07-04）,"/news,000063,1327458120.html",中兴通讯资讯,07-05 08:40
508,4,中兴通讯07月04日获深股通增持521.62万股,"/news,000063,1327451778.html",中兴通讯资讯,07-05 07:50
5098,22,中兴通讯股东户数下降5.12%，户均持股70.92万元,"/news,000063,1327334790.html",中兴通讯资讯,07-04 06:01
2754,40,业界首个5G确定性工业网关SmartEdge发布,"/news,000063,1327311790.html",中兴通讯资讯,07-04 04:35
426,0,民生证券维持中兴通讯推荐评级 预计2023年净利润同比增长26.02%,"/news,000063,1327225740.html",公司研报提示,07-04 01:51
