read amount,comments,title,content link,author,create time
64,0,西部证券维持大全能源增持评级 预计2023年净利润同比减少67.9%,"/news,688303,1338527150.html",公司研报提示,08-07 07:49
1292,4,受多晶硅价格下跌因素影响 大全能源H1净利润44.26亿元,"/news,688303,1338468847.html",大全能源资讯,08-06 06:34
305,0,中金公司维持大全能源跑赢行业评级 目标价50.35元,"/news,688303,1338457431.html",公司研报提示,08-06 03:20
77,0,大全能源本周融资净买入167.21万元，居光伏设备板块第十九,"/news,688303,1338454022.html",大眼看两融,08-06 03:04
93,0,大全能源：本周沪股通持股量环比减少1%，周内减仓幅度居光伏设备板块第十,"/news,688303,1338448849.html",胖猫周周见,08-06 02:08
253,1,华创证券维持大全能源推荐评级 目标价45.13元,"/news,688303,1338387050.html",公司研报提示,08-05 07:42
154,0,大全能源08月04日被沪股通减持33.42万股,"/news,688303,1338346829.html",大全能源资讯,08-05 09:01
110,0,大全能源：连续3日融资净买入累计2275.76万元（08-04）,"/news,688303,1338337067.html",大全能源资讯,08-05 07:45
13758,18,硅料龙头大全能源迎“大考”：上半年利润“腰斩” 多位核心高管辞职,"/news,688303,1338300933.html",大全能源资讯,08-04 10:03
648,1,硅料厂告别“暴利”年份 大全能源上半年净利下滑逾五成,"/news,688303,1338277209.html",大全能源资讯,08-04 07:37
615,1,注意！大全能源将于8月21日召开股东大会,"/news,688303,1338273498.html",大全能源资讯,08-04 07:16
1729,8,大全能源上半年净利润同比下滑53.53% 预计N型多晶硅将成新的利润增长点,"/news,688303,1338059047.html",大全能源资讯,08-04 11:14
65,0,大全能源08月03日被沪股通减持14.29万股,"/news,688303,1338006419.html",大全能源资讯,08-04 10:27
1691,5,大全能源上半年前十大流通股东累计持股环比增长46.75%,"/news,688303,1338004038.html",大全能源资讯,08-04 10:19
351,1,华泰证券维持大全能源买入评级 目标价44.2元,"/news,688303,1337991360.html",公司研报提示,08-04 10:15
342,1,多晶硅跌价压制盈利能力 大全能源上半年净利下滑超五成,"/news,688303,1338145858.html",大全能源资讯,08-04 09:15
60,0,大全能源：融资净买入424.22万元，融资余额10.44亿元（08-03）,"/news,688303,1337883614.html",大全能源资讯,08-04 07:42
2308,13,光伏硅料企业首份半年报出炉 大全能源净利降五成多,"/news,688303,1337841799.html",大全能源资讯,08-03 09:35
1006,0,多晶硅价格大跌 大全能源上半年净利润同比下跌超五成,"/news,688303,1337840541.html",大全能源资讯,08-03 09:31
130,0,大全能源：2023上半年净利润同比下降53.53%,"/news,688303,1337799233.html",一句话财报,08-03 06:34
1861,9,大全能源：2023年半年度净利润约44.26亿元 同比下降53.53%,"/news,688303,1337796833.html",大全能源资讯,08-03 06:19
869,1,大全能源股东户数下降16.50%，户均持股36.14万元,"/news,688303,1337794613.html",大全能源资讯,08-03 06:10
4260,38,大全能源：多晶硅价格大幅下跌 上半年归母净利润44.26亿元 同比下降53.53%,"/news,688303,1337794963.html",大全能源资讯,08-03 06:10
623,2,大全能源：上半年净利润同比下降53.53%,"/news,688303,1337794829.html",大全能源资讯,08-03 06:10
97,0,大全能源：上半年净利润同比下降53.53%,"/news,688303,1337794831.html",大全能源资讯,08-03 06:10
1955,5,大全能源：上半年净利润44.26亿元 同比降53.53%,"/news,688303,1337794830.html",大全能源资讯,08-03 06:10
147,0,大全能源08月02日获沪股通增持26万股,"/news,688303,1337515541.html",大全能源资讯,08-03 09:49
90,0,大全能源：融资净买入579.56万元，融资余额10.4亿元（08-02）,"/news,688303,1337454568.html",大全能源资讯,08-03 07:40
133,0,大全能源08月01日获沪股通增持3.7万股,"/news,688303,1337048104.html",大全能源资讯,08-02 09:10
105,0,大全能源：融资余额10.34亿元，创近一年新低（08-01）,"/news,688303,1337036039.html",大全能源资讯,08-02 08:09
150,0,大全能源07月31日被沪股通减持9.04万股,"/news,688303,1336600272.html",大全能源资讯,08-01 09:13
125,0,大全能源：融资余额10.44亿元，创近一年新低（07-31）,"/news,688303,1336586416.html",大全能源资讯,08-01 07:54
146,0,大全能源连续14周融资净偿还合计4.63亿元,"/news,688303,1336043687.html",大眼看两融,07-30 03:04
131,0,大全能源本周沪股通持股市值增加1814.3万元，居光伏设备板块第六,"/news,688303,1336038061.html",胖猫周周见,07-30 02:08
236,1,大全能源07月28日获沪股通增持23.39万股,"/news,688303,1335953655.html",大全能源资讯,07-29 09:32
129,0,大全能源：融资净买入203.61万元，融资余额10.55亿元（07-28）,"/news,688303,1335945530.html",大全能源资讯,07-29 07:45
86,0,大全能源07月27日被沪股通减持18.83万股,"/news,688303,1335516331.html",大全能源资讯,07-28 09:37
89,0,大全能源：融资余额10.53亿元，创近一年新低（07-27）,"/news,688303,1335475902.html",大全能源资讯,07-28 07:46
224,2,大全能源07月26日获沪股通增持47.62万股,"/news,688303,1335045065.html",大全能源资讯,07-27 09:26
95,0,大全能源：融资净偿还201.8万元，融资余额10.59亿元（07-26）,"/news,688303,1335020749.html",大全能源资讯,07-27 07:45
96,0,大全能源07月25日获沪股通增持2.34万股,"/news,688303,1334564902.html",大全能源资讯,07-26 09:05
73,0,大全能源：融资净买入397.51万元，融资余额10.61亿元（07-25）,"/news,688303,1334551719.html",大全能源资讯,07-26 07:42
1080,1,大全能源：公司专业化聚焦于高纯多晶硅的研发、生产和销售,"/news,688303,1334424330.html",大全能源资讯,07-25 04:17
768,2,大全能源：公司的客户主要集中于国内 公司超过99%以上的产品在国内销售,"/news,688303,1334419983.html",大全能源资讯,07-25 04:01
2319,7,大全能源：公司在内蒙古规划了20万吨多晶硅、30万吨工业硅、2.1万吨半导体硅、20万吨有机硅,"/news,688303,1334419819.html",大全能源资讯,07-25 04:01
743,3,大全能源：没有向美国出口或进口业务,"/news,688303,1334386260.html",大全能源资讯,07-25 02:42
416,0,大全能源：公司超过99%以上产品在国内销售,"/news,688303,1334371458.html",大全能源资讯,07-25 02:26
1647,4,大全能源：公司超过99%以上的产品在国内销售,"/news,688303,1334367782.html",大全能源资讯,07-25 02:23
84,0,大全能源07月24日被沪股通减持9.64万股,"/news,688303,1334115190.html",大全能源资讯,07-25 09:21
84,2,大全能源：融资净买入142.76万元，融资余额10.57亿元（07-24）,"/news,688303,1334096275.html",大全能源资讯,07-25 07:44
189,0,大全能源本周融资净偿还1904.08万元，居光伏设备板块第八,"/news,688303,1333573084.html",大眼看两融,07-23 03:05
130,0,沪股通连续2周净卖出大全能源 累计净卖出861.25万元,"/news,688303,1333567335.html",胖猫周周见,07-23 02:10
186,0,大全能源07月21日被沪股通减持5.44万股,"/news,688303,1333499748.html",大全能源资讯,07-22 10:44
155,0,大全能源：融资余额10.56亿元，创近一年新低（07-21）,"/news,688303,1333488432.html",大全能源资讯,07-22 07:51
141,1,大全能源07月20日获沪股通增持18.23万股,"/news,688303,1333140745.html",大全能源资讯,07-21 09:56
73,0,大全能源：融资余额10.6亿元，创近一年新低（07-20）,"/news,688303,1333062017.html",大全能源资讯,07-21 07:45
100,0,大全能源07月19日被沪股通减持19.26万股,"/news,688303,1332605334.html",大全能源资讯,07-20 09:25
101,1,大全能源：融资余额10.71亿元，创近一年新低（07-19）,"/news,688303,1332579446.html",大全能源资讯,07-20 07:43
72,0,大全能源：融资净买入6.67万元，融资余额10.73亿元（07-18）,"/news,688303,1332144831.html",大全能源资讯,07-19 07:46
66,0,大全能源：融资净偿还173.98万元，融资余额10.73亿元（07-17）,"/news,688303,1331716307.html",大全能源资讯,07-18 07:44
68,0,大全能源本周融资净偿还1289.06万元，居光伏设备板块第八,"/news,688303,1331235717.html",大眼看两融,07-16 03:04
66,0,大全能源本周被沪股通减持13.73万股 最新持股量2086.26万股,"/news,688303,1331230736.html",胖猫周周见,07-16 02:11
4057,15,N型硅料需求有望集中释放 大全能源“智造”引领发展,"/news,688303,1331182533.html",大全能源资讯,07-15 05:57
182,0,大全能源07月14日被沪股通减持45.42万股,"/news,688303,1331153268.html",大全能源资讯,07-15 09:09
79,0,大全能源：融资净偿还558.52万元，融资余额10.75亿元（07-14）,"/news,688303,1331146471.html",大全能源资讯,07-15 07:49
131,0,大全能源07月13日获沪股通增持62.7万股,"/news,688303,1330713632.html",大全能源资讯,07-14 09:21
77,0,大全能源：融资净买入907.21万元，融资余额10.8亿元（07-13）,"/news,688303,1330694722.html",大全能源资讯,07-14 07:44
119,0,大全能源07月12日被沪股通减持12.16万股,"/news,688303,1330245630.html",大全能源资讯,07-13 09:21
99,0,大全能源：融资余额10.71亿元，创近一年新低（07-12）,"/news,688303,1330225148.html",大全能源资讯,07-13 07:47
152,2,大全能源07月11日被沪股通减持45.68万股,"/news,688303,1329760653.html",大全能源资讯,07-12 09:31
104,0,大全能源：融资余额10.75亿元，创近一年新低（07-11）,"/news,688303,1329729880.html",大全能源资讯,07-12 07:38
160,1,大全能源07月10日获沪股通增持26.83万股,"/news,688303,1329315738.html",大全能源资讯,07-11 09:22
116,0,大全能源：融资余额10.79亿元，创近一年新低（07-10）,"/news,688303,1329296753.html",大全能源资讯,07-11 07:41
