read amount,comments,title,content link,author,create time
78,0,万科Ａ：融资净偿还3241.85万元，融资余额44.34亿元（08-04）,"/news,000002,1338532966.html",万科A资讯,08-07 08:43
133,0,万科A本周融资净偿还4339.37万元，居房地产开发板块第三,"/news,000002,1338455257.html",大眼看两融,08-06 03:06
131,0,万科A本周深股通持股市值减少1.41亿元，居房地产开发板块第一,"/news,000002,1338449590.html",胖猫周周见,08-06 02:10
461,1,万科A08月04日被深股通减持1331.26万股,"/news,000002,1338338545.html",万科A资讯,08-05 07:52
129,0,万科Ａ：连续3日融资净买入累计4951.63万元（08-03）,"/news,000002,1337896847.html",万科A资讯,08-04 09:00
237,0,万科A08月03日获深股通增持597.74万股,"/news,000002,1337884835.html",万科A资讯,08-04 07:49
3476,17,万科前7个月销售约2260亿元 近期新增7个开发项目,"/news,000002,1337864138.html",万科A资讯,08-04 12:05
1869,6,万科A披露7月销售数据 实现合同销售金额220.5亿元,"/news,000002,1337853077.html",万科A资讯,08-03 10:41
2417,9,万科A：2023年7月合同销售金额为220.5亿元,"/news,000002,1337841967.html",万科A资讯,08-03 09:36
2283,14,万科A：7月份实现合同销售金额220.5亿元,"/news,000002,1337827596.html",万科A资讯,08-03 08:29
2725,9,万科A：7月实现合同销售金额220.5亿元,"/news,000002,1337821014.html",万科A资讯,08-03 08:02
107,0,万科Ａ：融资净买入3085.3万元，融资余额44.57亿元（08-02）,"/news,000002,1337463358.html",万科A资讯,08-03 08:47
206,0,万科A08月02日被深股通减持236.5万股,"/news,000002,1337456340.html",万科A资讯,08-03 07:51
2919,7,万科8.06亿元摘得郑州一宗宅地,"/news,000002,1337336444.html",万科A资讯,08-02 03:20
1744,12,万科回应业务转型：坚持不动产开发经营服务并重的发展方向,"/news,000002,1337336893.html",万科A资讯,08-02 03:20
2497,25,连续8年上榜 万科位列2023年《财富》世界500强第173位,"/news,000002,1337320903.html",万科A资讯,08-02 02:50
943,9,万科回复业务转型：坚持不动产开发经营服务并重的发展方向,"/news,000002,1337241341.html",万科A资讯,08-02 11:46
129,0,万科Ａ：融资净买入890.75万元，融资余额44.26亿元（08-01）,"/news,000002,1337041793.html",万科A资讯,08-02 08:45
229,0,万科A08月01日被深股通减持181.75万股,"/news,000002,1337031361.html",万科A资讯,08-02 07:41
155,0,万科Ａ：融资净偿还9291万元，两市排名第四（07-31）,"/news,000002,1336592741.html",万科A资讯,08-01 08:41
296,0,万科A07月31日获深股通增持235.73万股,"/news,000002,1336586678.html",万科A资讯,08-01 07:56
5879,23,宁波第四批供地收官：7宗地超84亿元成交 万科、保利落子,"/news,000002,1336526852.html",万科A资讯,07-31 09:11
2561,9,万科20亿元公司债券今日上市 利率3.1%,"/news,000002,1336364387.html",万科A资讯,07-31 01:58
117,0,万科Ａ：融资净买入3368.44万元，融资余额45.1亿元（07-28）,"/news,000002,1336115216.html",万科A资讯,07-31 08:41
130,0,万科A本周融资净偿还7953.89万元，居房地产开发板块第三,"/news,000002,1336045317.html",大眼看两融,07-30 03:07
198,0,万科A本周获深股通增持8.65亿元，周内增持市值两市排名第八,"/news,000002,1336038750.html",胖猫周周见,07-30 02:10
678,7,万科A07月28日获深股通增持2727.39万股,"/news,000002,1335946806.html",万科A资讯,07-29 07:56
7422,28,万科Ａ：在开发业务和城市更新领域 在全国多个城市参与了旧城改造、老旧小区改造等不同类型项目实践,"/news,000002,1335924786.html",万科A资讯,07-28 11:05
3807,14,万科万达这一纠纷基本和解？求证结果来了,"/news,000002,1335716024.html",万科A资讯,07-28 01:24
145,0,万科Ａ：连续3日融资净偿还累计1.66亿元（07-27）,"/news,000002,1335483641.html",万科A资讯,07-28 08:44
373,2,万科A07月27日获深股通增持1405.62万股,"/news,000002,1335477310.html",万科A资讯,07-28 07:55
3057,7,万科万达纠纷和解？,"/news,000002,1335412679.html",万科A资讯,07-27 08:14
8829,39,万科与万达10余亿元财务纠纷基本达成和解 万达商管部分被冻结股权即将解冻,"/news,000002,1335406457.html",万科A资讯,07-27 07:53
3780,17,楼市半年考·房企| 万科上半年新增货值位列前五 投资拿地、人事换防力求解压业绩,"/news,000002,1335192476.html",万科A资讯,07-27 11:25
143,0,万科Ａ：融资净偿还6076.46万元，两市排名第12（07-26）,"/news,000002,1335028038.html",万科A资讯,07-27 08:40
292,0,万科A07月26日获深股通增持748.89万股,"/news,000002,1335022227.html",万科A资讯,07-27 07:55
169,0,万科Ａ：融资净偿还7633.32万元，融资余额45.67亿元（07-25）,"/news,000002,1334560543.html",万科A资讯,07-26 08:46
404,1,万科A07月25日获深股通增持2088.03万股,"/news,000002,1334553865.html",万科A资讯,07-26 07:55
166,0,万科Ａ7月25日快速上涨,"/news,000002,1334133563.html",万科A资讯,07-25 09:35
167,0,万科Ａ：融资净买入8693.23万元，两市排名第九（07-24）,"/news,000002,1334103992.html",万科A资讯,07-25 08:41
223,0,万科A07月24日被深股通减持1231.76万股,"/news,000002,1334097890.html",万科A资讯,07-25 07:55
