read amount,comments,title,content link,author,create time
107,0,长安汽车：连续3日融资净买入累计6297.78万元（08-04）,"/news,000625,1338532923.html",长安汽车资讯,08-07 08:43
589,6,东方证券维持长安汽车买入评级 目标价18.54元,"/news,000625,1338528960.html",公司研报提示,08-07 08:07
126,0,长安汽车本周融资净偿还2419.05万元，居汽车整车板块第二,"/news,000625,1338455657.html",大眼看两融,08-06 03:07
294,2,长安汽车本周获深股通增持3.83亿元，周内增持市值两市排名第14,"/news,000625,1338450516.html",胖猫周周见,08-06 02:13
372,0,长安汽车08月04日被深股通减持614.15万股,"/news,000625,1338344015.html",长安汽车资讯,08-05 08:34
3228,44,长安汽车拟捐款1000万元援助京津冀等洪涝受灾地区,"/news,000625,1338084659.html",长安汽车资讯,08-04 12:19
713,6,中信证券维持长安汽车买入评级 目标价20元,"/news,000625,1338068627.html",公司研报提示,08-04 11:27
168,0,长安汽车08月03日获深股通增持1292.66万股,"/news,000625,1337901253.html",长安汽车资讯,08-04 09:14
123,0,长安汽车：融资净买入182.43万元，融资余额24.74亿元（08-03）,"/news,000625,1337898062.html",长安汽车资讯,08-04 09:04
8559,104,长安汽车携旗下品牌及合作伙伴共同捐赠2000万元驰援受灾地区,"/news,000625,1337857294.html",长安汽车资讯,08-03 11:03
290,2,长安汽车08月02日被深股通减持877.4万股,"/news,000625,1337468927.html",长安汽车资讯,08-03 09:09
139,0,长安汽车：融资净买入3877.11万元，融资余额24.72亿元（08-02）,"/news,000625,1337468088.html",长安汽车资讯,08-03 09:06
6923,51,长安汽车7月新能源车销量3.95万辆 同比增长62.8%,"/news,000625,1337422073.html",长安汽车资讯,08-02 10:04
9107,66,长安汽车7月新能源销量3.95万辆 同比增长超60%,"/news,000625,1337330958.html",长安汽车资讯,08-02 03:06
11740,97,长安汽车前7个月新能源车销量超21万辆 同比增长87.8%,"/news,000625,1337265694.html",长安汽车资讯,08-02 01:43
215,0,长安汽车：融资净偿还340.97万元，融资余额24.34亿元（08-01）,"/news,000625,1337041476.html",长安汽车资讯,08-02 08:44
340,2,长安汽车08月01日获深股通增持602.51万股,"/news,000625,1337039799.html",长安汽车资讯,08-02 08:33
7319,38,长安福特拥抱“电马”入怀 福特在华电动化转型“僵局”将被打破？,"/news,000625,1336992261.html",长安汽车资讯,08-01 09:48
11719,62,连续3日净买入 长安汽车获深股通净买入5.51亿元,"/news,000625,1336949066.html",长安汽车资讯,08-01 06:42
10407,57,长安福特接手电马在华运营业务,"/news,000625,1336725774.html",长安汽车资讯,08-01 10:44
176,0,浙商证券首次给予长安汽车买入评级 预计2023年净利润同比增长17.7%,"/news,000625,1336676212.html",公司研报提示,08-01 10:08
167,0,长安汽车：融资净偿还6137.62万元，两市排名第14（07-31）,"/news,000625,1336592942.html",长安汽车资讯,08-01 08:42
312,0,长安汽车07月31日获深股通增持2040.07万股,"/news,000625,1336591526.html",长安汽车资讯,08-01 08:33
11349,41,混动为王 新能源潮流下“六边形战士”问世,"/news,000625,1336503414.html",长安汽车资讯,07-31 07:52
15996,53,长安汽车、金科股份等10股获特大单资金净流入超2亿元,"/news,000625,1336467763.html",长安汽车资讯,07-31 05:45
219,0,长安汽车：融资净买入9187.43万元，两市排名第十（07-28）,"/news,000625,1336115438.html",长安汽车资讯,07-31 08:43
182,0,长安汽车本周融资净买入5223.88万元，居汽车整车板块第一,"/news,000625,1336045091.html",大眼看两融,07-30 03:07
193,0,长安汽车本周深股通持股市值增加4.24亿元，居汽车整车板块第二,"/news,000625,1336039845.html",胖猫周周见,07-30 02:14
467,1,长安汽车07月28日获深股通增持882.62万股,"/news,000625,1335949986.html",长安汽车资讯,07-29 08:48
13556,69,长安汽车换届 朱华荣任董事长、王俊为总裁,"/news,000625,1335878860.html",长安汽车资讯,07-28 07:28
356,8,长安汽车07月27日被深股通减持1969.61万股,"/news,000625,1335488315.html",长安汽车资讯,07-28 09:04
228,0,长安汽车：融资净买入6694.04万元，两市排名第九（07-27）,"/news,000625,1335482939.html",长安汽车资讯,07-28 08:40
17275,79,长安汽车大宗交易成交1.36亿元，买方为机构专用席位,"/news,000625,1335386666.html",长安汽车资讯,07-27 06:25
4950,39,大宗交易：机构账户买入长安汽车1.36亿元（07-27）,"/news,000625,1335361292.html",长安汽车资讯,07-27 04:45
4748,82,“益”路同行 为爱蓄力！透过集市烟火气看这家领军车企的责任担当,"/news,000625,1335209898.html",长安汽车资讯,07-27 12:21
150,0,长安汽车7月27日快速回调,"/news,000625,1335059036.html",长安汽车资讯,07-27 09:35
194,3,长安汽车7月27日开盘涨幅达5%,"/news,000625,1335052407.html",长安汽车资讯,07-27 09:31
190,0,长安汽车：融资净偿还3446.81万元，融资余额23.4亿元（07-26）,"/news,000625,1335028912.html",长安汽车资讯,07-27 08:44
446,2,长安汽车07月26日获深股通增持688.29万股,"/news,000625,1335025361.html",长安汽车资讯,07-27 08:19
16553,68,长安汽车大宗交易成交2000.00万股 成交额2.85亿元,"/news,000625,1334570267.html",长安汽车资讯,07-26 09:18
122,0,长安汽车：融资净买入2695.13万元，融资余额23.74亿元（07-25）,"/news,000625,1334560315.html",长安汽车资讯,07-26 08:45
270,4,长安汽车07月25日获深股通增持3387.69万股,"/news,000625,1334558769.html",长安汽车资讯,07-26 08:37
7325,12,长安汽车今日大宗交易折价成交2.85亿元 折价率2.47%,"/news,000625,1334500206.html",长安汽车资讯,07-25 09:03
8124,5,数据复盘：68亿狂买券商 龙虎榜抢筹长安汽车,"/news,000625,1334459428.html",长安汽车资讯,07-25 06:13
40239,27,7月25日龙虎榜：6.49亿抢筹长安汽车 机构净买入17只股,"/news,000625,1334459434.html",长安汽车资讯,07-25 06:07
20846,40,主力复盘：68亿狂买券商 17亿封板长安汽车,"/news,000625,1334444486.html",长安汽车资讯,07-25 05:18
5016,29,长安汽车今日涨停 北向资金净买入4.82亿元,"/news,000625,1334429391.html",长安汽车资讯,07-25 04:34
9123,39,大宗交易：机构账户买入长安汽车2.85亿元（07-25）,"/news,000625,1334428926.html",长安汽车资讯,07-25 04:34
1778,1,多主力现身龙虎榜，长安汽车涨停（07-25）,"/news,000625,1334426269.html",长安汽车资讯,07-25 04:25
36728,221,长安汽车(000625)龙虎榜数据(07-25),"/news,000625,1334426097.html",长安汽车资讯,07-25 04:24
144,0,长安汽车放量涨停 机构资金净买入585万元,"/news,000625,1334425838.html",数据快报,07-25 04:23
8318,79,汽车整车板块走高 长安汽车午后涨停,"/news,000625,1334311797.html",长安汽车资讯,07-25 01:17
130,4,长安汽车7月25日盘中涨幅达5%,"/news,000625,1334134359.html",长安汽车资讯,07-25 09:35
105,2,长安汽车7月25日快速上涨,"/news,000625,1334134335.html",长安汽车资讯,07-25 09:35
134,0,长安汽车：融资净偿还718.47万元，融资余额23.47亿元（07-24）,"/news,000625,1334103899.html",长安汽车资讯,07-25 08:41
196,0,长安汽车07月24日被深股通减持35.62万股,"/news,000625,1334103499.html",长安汽车资讯,07-25 08:39
118,0,长安汽车：融资净偿还815.89万元，融资余额23.54亿元（07-21）,"/news,000625,1333668549.html",长安汽车资讯,07-24 08:42
147,1,长安汽车本周融资净买入2256.82万元，居汽车整车板块第二,"/news,000625,1333574168.html",大眼看两融,07-23 03:07
279,3,长安汽车本周深股通持股市值减少1217.62万元，居汽车整车板块第五,"/news,000625,1333568527.html",胖猫周周见,07-23 02:14
10732,96,长安汽车：预计2025年前深蓝汽车将在全国建成上千家订单中心 上万个订单、交付和维保触点,"/news,000625,1333506711.html",长安汽车资讯,07-22 12:45
3198,26,长安启源A07正式亮相 重新定义数智时代新出行,"/news,000625,1333502851.html",长安汽车资讯,07-22 11:26
300,1,长安汽车07月21日获深股通增持215.39万股,"/news,000625,1333492288.html",长安汽车资讯,07-22 08:57
2707,26,长安汽车：39年造车引领技术革新,"/news,000625,1333481834.html",长安汽车资讯,07-22 04:31
1261,6,【调研快报】长安汽车接待中泰证券等多家机构调研,"/news,000625,1333405000.html",长安汽车资讯,07-21 05:24
1089,6,长安汽车：目前正在开发新一代增程系统和超集电驱,"/news,000625,1333399680.html",长安汽车资讯,07-21 04:53
1134,7,长安汽车：目前正在开发中的新一代增程系统和超集电驱,"/news,000625,1333397854.html",长安汽车资讯,07-21 04:49
2744,16,长安汽车：阿维塔计划在今年第三季度提供华为原生HarmonyOS车机操作系统,"/news,000625,1333397945.html",长安汽车资讯,07-21 04:47
2447,17,长安汽车：阿维塔12已登录工信部公告 新车将于三季度亮相、年内交付,"/news,000625,1333396054.html",长安汽车资讯,07-21 04:41
1137,7,长安汽车：2024年之前 将完成东南亚和欧洲两大重点区域市场的进入,"/news,000625,1333394795.html",长安汽车资讯,07-21 04:33
2317,23,长安汽车：阿维塔12已经登录工信部公告,"/news,000625,1333394462.html",长安汽车资讯,07-21 04:33
548,0,长安汽车：接受西南证券调研,"/news,000625,1333394028.html",长安汽车资讯,07-21 04:31
1701,21,长安汽车：接受中泰证券等机构调研,"/news,000625,1333392571.html",长安汽车资讯,07-21 04:23
771,10,长安汽车获评J.D. Power“2023中国销售服务满意度”自主品牌第一,"/news,000625,1333373818.html",长安汽车资讯,07-21 03:09
2357,19,长安启源首款车型A07或于四季度上市,"/news,000625,1333141495.html",长安汽车资讯,07-21 09:56
152,0,长安汽车：融资净买入2329.66万元，融资余额23.62亿元（07-20）,"/news,000625,1333071411.html",长安汽车资讯,07-21 08:46
348,5,长安汽车07月20日获深股通增持167.57万股,"/news,000625,1333068311.html",长安汽车资讯,07-21 08:31
8976,73,J.D. Power发布中国销售服务满意度研究：长安汽车与广汽传祺并列自主品牌第一,"/news,000625,1333017455.html",长安汽车资讯,07-20 10:08
239,0,长安汽车07月19日被深股通减持186.65万股,"/news,000625,1332591698.html",长安汽车资讯,07-20 08:56
153,2,长安汽车：融资净偿还3547.1万元，融资余额23.39亿元（07-19）,"/news,000625,1332587847.html",长安汽车资讯,07-20 08:40
4427,58,长安汽车：将快速推进新能源板块发展 2025年新能源销量占比达到40%,"/news,000625,1332509574.html",长安汽车资讯,07-19 08:15
1434,4,【调研快报】长安汽车接待长江证券等多家机构调研,"/news,000625,1332505827.html",长安汽车资讯,07-19 07:57
4136,77,长安汽车：计划在2025年前 打造新一代快充技术,"/news,000625,1332486208.html",长安汽车资讯,07-19 06:14
3688,38,长安汽车：接受长江证券等机构调研,"/news,000625,1332485766.html",长安汽车资讯,07-19 06:05
162,0,长安汽车：融资净偿还1052.77万元，融资余额23.75亿元（07-18）,"/news,000625,1332152550.html",长安汽车资讯,07-19 08:39
317,1,长安汽车07月18日被深股通减持273.8万股,"/news,000625,1332149468.html",长安汽车资讯,07-19 08:17
166,0,长安汽车7月18日快速上涨,"/news,000625,1331899175.html",长安汽车资讯,07-18 01:00
8968,88,长安启源A07新能源车型即将发布,"/news,000625,1331787176.html",长安汽车资讯,07-18 09:58
176,0,长安汽车：融资净买入4527.03万元，融资余额23.85亿元（07-17）,"/news,000625,1331723184.html",长安汽车资讯,07-18 08:48
5126,90,新能源、燃油车并驾齐驱，长安汽车实现“既快且稳”发展,"/news,000625,1331516883.html",长安汽车资讯,07-17 01:42
170,1,长安汽车：连续3日融资净偿还累计4779.1万元（07-14）,"/news,000625,1331301397.html",长安汽车资讯,07-17 08:41
120,0,长安汽车本周融资净偿还2875.4万元，居汽车整车板块第三,"/news,000625,1331237290.html",大眼看两融,07-16 03:07
180,0,长安汽车本周被深股通减持2.8亿元，周内减持市值两市排名第18,"/news,000625,1331231890.html",胖猫周周见,07-16 02:14
773,6,长安汽车07月14日获深股通增持293.43万股,"/news,000625,1331149102.html",长安汽车资讯,07-15 08:18
8509,72,长安汽车：今年1至6月销量121万辆 较去年增长8%,"/news,000625,1331013305.html",长安汽车资讯,07-14 03:31
3215,33,长安汽车：2024年之前 将完成东南亚和欧洲两大重点区域市场的进入,"/news,000625,1330953710.html",长安汽车资讯,07-14 02:03
3969,56,长安汽车：力争2025年新能源车销量达120万辆,"/news,000625,1330855901.html",长安汽车资讯,07-14 11:08
3755,37,稳住基本盘，培育新增量，转型中的长安汽车发展进入上升通道,"/news,000625,1330837025.html",长安汽车资讯,07-14 10:47
120,0,长安汽车：融资净偿还1691.91万元，融资余额23.61亿元（07-13）,"/news,000625,1330704218.html",长安汽车资讯,07-14 08:49
392,2,长安汽车07月13日被深股通减持702.39万股,"/news,000625,1330699257.html",长安汽车资讯,07-14 08:18
2073,6,【调研快报】长安汽车接待国盛证券等多家机构调研,"/news,000625,1330583267.html",长安汽车资讯,07-13 05:21
5055,91,连续三年半年销量破百万辆 长安汽车的目光已眺向“星辰大海”,"/news,000625,1330252838.html",长安汽车资讯,07-13 09:27
228,2,长安汽车07月12日被深股通减持379.27万股,"/news,000625,1330241010.html",长安汽车资讯,07-13 09:10
135,0,长安汽车：融资净偿还939.7万元，融资余额23.78亿元（07-12）,"/news,000625,1330234702.html",长安汽车资讯,07-13 08:46
7364,42,长安汽车拟换届 提名朱华荣等12人为董事候选人,"/news,000625,1330146450.html",长安汽车资讯,07-12 08:16
7356,81,上半年海外销量涨14.3%，居行业前三，长安汽车“海纳百川”计划开局完美,"/news,000625,1329920627.html",长安汽车资讯,07-12 11:34
2101,5,长安汽车申请深蓝GPT相关商标,"/news,000625,1329916107.html",长安汽车资讯,07-12 11:27
2509,8,长安汽车申请深蓝GPT商标,"/news,000625,1329853690.html",长安汽车资讯,07-12 10:30
3975,24,长安汽车申请深蓝GPT商标 长安汽车申请GPT相关商标,"/news,000625,1329845185.html",长安汽车资讯,07-12 10:24
115,0,长安汽车7月12日盘中涨幅达5%,"/news,000625,1329787205.html",长安汽车资讯,07-12 09:46
104,0,长安汽车7月12日快速上涨,"/news,000625,1329784535.html",长安汽车资讯,07-12 09:44
178,0,长安汽车07月11日被深股通减持722.91万股,"/news,000625,1329744160.html",长安汽车资讯,07-12 09:09
127,0,长安汽车：融资净买入2296.23万元，融资余额23.88亿元（07-11）,"/news,000625,1329738325.html",长安汽车资讯,07-12 08:43
12711,62,长安汽车今日大宗交易折价成交1000万股，成交额1.4亿元,"/news,000625,1329667683.html",长安汽车资讯,07-11 08:59
18234,122,长安汽车与腾讯签署深化战略合作协议,"/news,000625,1329646212.html",长安汽车资讯,07-11 07:34
13608,94,长安汽车与腾讯宣布：在自动驾驶、海外生态等多领域加强合作,"/news,000625,1329645385.html",长安汽车资讯,07-11 07:30
3689,9,注意！长安汽车将于7月27日召开股东大会,"/news,000625,1329644400.html",长安汽车资讯,07-11 07:28
13024,72,大宗交易：机构账户买入长安汽车1.4亿元（07-11）,"/news,000625,1329602007.html",长安汽车资讯,07-11 04:33
339,2,长江证券维持长安汽车买入评级 预计2023年净利润同比增长5.16%,"/news,000625,1329386938.html",公司研报提示,07-11 10:13
156,0,长安汽车：融资净偿还2540.03万元，融资余额23.65亿元（07-10）,"/news,000625,1329305000.html",长安汽车资讯,07-11 08:43
389,2,长安汽车07月10日被深股通减持477.21万股,"/news,000625,1329301842.html",长安汽车资讯,07-11 08:18
288,1,中泰证券维持长安汽车买入评级 预计2023年净利润同比增长16.1%,"/news,000625,1329168467.html",公司研报提示,07-10 03:07
315,0,国泰君安维持长安汽车增持评级 目标价16.49元,"/news,000625,1329132545.html",公司研报提示,07-10 02:18
252,3,长安汽车7月10日快速上涨,"/news,000625,1328926725.html",长安汽车资讯,07-10 09:32
191,0,长安汽车：融资净买入2874.96万元，融资余额23.9亿元（07-07）,"/news,000625,1328901352.html",长安汽车资讯,07-10 08:46
381,1,华泰证券维持长安汽车增持评级 目标价16.65元,"/news,000625,1328898319.html",公司研报提示,07-10 08:19
5431,49,中泰证券给予长安汽车买入评级 销量同环比表现亮眼 深蓝S7爆点带动电动化拐点,"/news,000625,1328895684.html",长安汽车资讯,07-10 07:36
181,0,长安汽车本周融资净买入2.06亿元，两市排名第六,"/news,000625,1328843526.html",大眼看两融,07-09 03:09
189,0,长安汽车本周深股通持股市值增加1.77亿元，居汽车整车板块第三,"/news,000625,1328837297.html",胖猫周周见,07-09 02:15
677,4,长安汽车07月07日获深股通增持579.59万股,"/news,000625,1328763554.html",长安汽车资讯,07-08 08:41
2974,10,长安汽车总裁王俊：发挥新型举国体制优势 加速关键核心技术突破,"/news,000625,1328748114.html",长安汽车资讯,07-07 11:54
4230,25,长安汽车上半年销量121.57万辆 同比增长8%,"/news,000625,1328715802.html",长安汽车资讯,07-07 07:11
7884,33,自主品牌座次大洗牌：比亚迪反超长安 奇瑞连超吉利、长城,"/news,000625,1328709216.html",长安汽车资讯,07-07 06:19
177,0,华西证券维持长安汽车买入评级 预计2023年净利润同比增长24.83%,"/news,000625,1328476088.html",公司研报提示,07-07 10:20
508,0,东方证券维持长安汽车买入评级 目标价15.45元,"/news,000625,1328456618.html",公司研报提示,07-07 10:06
207,1,长安汽车07月06日被深股通减持453.76万股,"/news,000625,1328379033.html",长安汽车资讯,07-07 09:05
4698,29,长安汽车王俊：中国汽车市场正呈现“3+1”特征,"/news,000625,1328379341.html",长安汽车资讯,07-07 09:05
7740,108,华西证券给予长安汽车买入评级,"/news,000625,1328377651.html",长安汽车资讯,07-07 09:00
126,0,长安汽车：融资净买入3668.45万元，融资余额23.61亿元（07-06）,"/news,000625,1328373853.html",长安汽车资讯,07-07 08:43
233,0,东吴证券维持长安汽车买入评级 预计2023年净利润同比增长23.2%,"/news,000625,1328360195.html",公司研报提示,07-07 06:49
3620,27,长安汽车上半年卖车121万辆 新能源车销售增长107%,"/news,000625,1328324927.html",长安汽车资讯,07-06 11:14
5765,31,长安汽车上半年销量达121.57万辆,"/news,000625,1328305679.html",长安汽车资讯,07-06 09:57
2640,12,长安汽车：自主品牌新能源6月销量39734辆 同比增加117.51%,"/news,000625,1328272622.html",长安汽车资讯,07-06 07:55
4517,22,长安汽车上半年销量同比增近8% 新能源汽车翻番,"/news,000625,1328271528.html",长安汽车资讯,07-06 07:47
4130,39,长安汽车：自主品牌新能源6月销量39734辆 同比增加117.51%,"/news,000625,1328240675.html",长安汽车资讯,07-06 05:33
10806,97,长安汽车：自主品牌新能源上半年累计销量超17万辆，同比增长107.23%,"/news,000625,1328239467.html",长安汽车资讯,07-06 05:29
