read amount,comments,title,content link,author,create time
66,0,天合光能本周融资净买入1612.42万元，居光伏设备板块第十,"/news,688599,1338454253.html",大眼看两融,08-06 03:04
85,0,天合光能本周沪股通持股市值减少2.07亿元，居光伏设备板块第一,"/news,688599,1338449114.html",胖猫周周见,08-06 02:09
203,2,天合光能08月04日被沪股通减持70.86万股,"/news,688599,1338346430.html",天合光能资讯,08-05 08:57
87,0,天合光能：融资净偿还1699.63万元，融资余额16.71亿元（08-04）,"/news,688599,1338337533.html",天合光能资讯,08-05 07:47
2536,11,7问7答 天合光能独家回应！,"/news,688599,1338306844.html",天合光能资讯,08-04 11:00
134,2,天合光能08月03日被沪股通减持262.28万股,"/news,688599,1338012616.html",天合光能资讯,08-04 10:32
78,0,天合光能：融资净买入1294.4万元，融资余额16.88亿元（08-03）,"/news,688599,1337884333.html",天合光能资讯,08-04 07:46
79,0,天合光能：融资净偿还391.82万元，融资余额16.75亿元（08-02）,"/news,688599,1337455116.html",天合光能资讯,08-03 07:43
867,6,天合光能于江苏投资新设数字智能科技公司,"/news,688599,1337317552.html",天合光能资讯,08-02 02:43
95,0,天合光能08月01日被沪股通减持125.82万股,"/news,688599,1337048780.html",天合光能资讯,08-02 09:12
72,0,天合光能：融资净偿还203.13万元，融资余额16.79亿元（08-01）,"/news,688599,1337036210.html",天合光能资讯,08-02 08:10
2715,11,缺钱的天合光能！,"/news,688599,1337014862.html",天合光能资讯,08-02 12:01
2269,5,天合光能青海大基地年产5GW N型电池下线,"/news,688599,1336975653.html",天合光能资讯,08-01 08:43
1276,4,天合光能：累计回购约422万股 占比0.19%,"/news,688599,1336952908.html",天合光能资讯,08-01 06:52
81,0,天合光能07月31日被沪股通减持93.9万股,"/news,688599,1336602722.html",天合光能资讯,08-01 09:20
64,0,天合光能：融资净买入2612.6万元，融资余额16.81亿元（07-31）,"/news,688599,1336586313.html",天合光能资讯,08-01 07:54
54,0,天合光能本周融资净偿还611.66万元，居光伏设备板块第十三,"/news,688599,1336043462.html",大眼看两融,07-30 03:04
70,0,天合光能本周沪股通持股市值减少2.05亿元，居光伏设备板块第三,"/news,688599,1336038252.html",胖猫周周见,07-30 02:09
2129,9,天合光能：中国光伏行业首个供应链金融平台上线,"/news,688599,1336021894.html",天合光能资讯,07-30 07:57
3176,20,中国光伏行业首个供应链金融平台在天合光能上线发布,"/news,688599,1335995203.html",天合光能资讯,07-29 09:10
152,0,天合光能07月28日被沪股通减持88万股,"/news,688599,1335955426.html",天合光能资讯,07-29 09:53
57,0,天合光能：融资净偿还2960.76万元，融资余额16.55亿元（07-28）,"/news,688599,1335945925.html",天合光能资讯,07-29 07:48
90,0,东兴证券维持天合光能推荐评级 预计2023年净利润同比增长103.49%,"/news,688599,1335904261.html",公司研报提示,07-28 09:33
1514,7,东兴证券给予天合光能推荐评级 2023年中期业绩预告点评 近期获2份券商研报关注 目标均价涨幅44.74%,"/news,688599,1335904236.html",天合光能资讯,07-28 09:30
83,1,天合光能07月27日被沪股通减持52.83万股,"/news,688599,1335490644.html",天合光能资讯,07-28 09:12
59,1,天合光能：融资净偿还1218.45万元，融资余额16.85亿元（07-27）,"/news,688599,1335476741.html",天合光能资讯,07-28 07:51
2197,14,天合光能：首次回购约12万股,"/news,688599,1335393388.html",天合光能资讯,07-27 06:52
104,0,天合光能07月26日被沪股通减持330.98万股,"/news,688599,1335034631.html",天合光能资讯,07-27 09:09
72,0,天合光能：融资净买入4534.15万元，两市排名第15（07-26）,"/news,688599,1335020815.html",天合光能资讯,07-27 07:46
903,0,硅料瓶颈解除、出货量上升 头部组件厂商上半年盈利普遍大涨,"/news,688599,1334939403.html",天合光能资讯,07-26 07:56
2103,5,天合光能：公司董事兼副总经理曹博离职,"/news,688599,1334899871.html",天合光能资讯,07-26 06:06
299,2,华创证券维持天合光能强推评级 目标价50.76元,"/news,688599,1334890954.html",公司研报提示,07-26 05:39
2420,0,天合光能H1净利最高预增近两倍 上半年组件出货排名初揭晓|财报解读,"/news,688599,1334681355.html",天合光能资讯,07-26 10:42
86,0,东吴证券维持天合光能买入评级 目标价54.9元,"/news,688599,1334592950.html",公司研报提示,07-26 09:37
73,0,天合光能07月25日被沪股通减持26.21万股,"/news,688599,1334585704.html",天合光能资讯,07-26 09:33
2936,10,最高预增近2倍！800亿光伏组件龙头业绩亮眼,"/news,688599,1334556395.html",天合光能资讯,07-26 08:09
53,1,天合光能：融资净偿还1170.16万元，融资余额16.51亿元（07-25）,"/news,688599,1334551251.html",天合光能资讯,07-26 07:39
1104,5,一体化布局见成效 天合光能上半年净利增长近两倍,"/news,688599,1334516830.html",天合光能资讯,07-25 10:12
1591,17,天合光能上半年预计净利润33.28亿元至37.52亿元 百亿扩产和百亿融资“齐步走”,"/news,688599,1334460465.html",天合光能资讯,07-25 06:18
1088,10,天合光能：上半年净利润预增162.14%-195.61%,"/news,688599,1334451384.html",天合光能资讯,07-25 05:50
788,3,天合光能上半年预增最高近200% 组件收入大增 行业Q3或迎量增价稳,"/news,688599,1334441643.html",天合光能资讯,07-25 05:17
1611,8,天合光能：预计2023年上半年净利润约为33.28亿元到约37.52亿元 同比增加162.14%到195.61%,"/news,688599,1334427843.html",天合光能资讯,07-25 04:28
1787,22,天合光能：预计上半年净利润同比增加162.14%-195.61%,"/news,688599,1334426286.html",天合光能资讯,07-25 04:22
356,2,天合光能上半年净利润预增162.14%至195.61%,"/news,688599,1334425391.html",天合光能资讯,07-25 04:21
95,1,天合光能：预计23年半年度归母净利润同比增长162.14%至195.61%,"/news,688599,1334424972.html",业绩预告快讯,07-25 04:21
620,3,天合光能：预计上半年归母净利33.28亿-37.52亿元 同比增162.14%-195.61%,"/news,688599,1334424714.html",天合光能资讯,07-25 04:18
65,0,天合光能07月24日被沪股通减持57.19万股,"/news,688599,1334112445.html",天合光能资讯,07-25 09:15
57,0,天合光能：融资净买入203.56万元，融资余额16.63亿元（07-24）,"/news,688599,1334096023.html",天合光能资讯,07-25 07:43
59,1,天合光能本周融资净偿还325.24万元，居光伏设备板块第十九,"/news,688599,1333572304.html",大眼看两融,07-23 03:04
63,1,沪股通连续2周净卖出天合光能 累计净卖出4909.06万元,"/news,688599,1333567480.html",胖猫周周见,07-23 02:11
138,1,天合光能07月21日被沪股通减持22.23万股,"/news,688599,1333501646.html",天合光能资讯,07-22 11:14
79,0,天合光能：融资净偿还615.88万元，融资余额16.61亿元（07-21）,"/news,688599,1333488375.html",天合光能资讯,07-22 07:51
2142,6,天合光能年产50GW单晶硅片项目签约,"/news,688599,1333391864.html",天合光能资讯,07-21 04:21
84,2,天合光能07月20日被沪股通减持39.32万股,"/news,688599,1333084352.html",天合光能资讯,07-21 09:21
54,1,天合光能：融资净买入126.09万元，融资余额16.67亿元（07-20）,"/news,688599,1333061781.html",天合光能资讯,07-21 07:43
144,3,天合光能07月19日被沪股通减持122.49万股,"/news,688599,1332601126.html",天合光能资讯,07-20 09:22
79,0,天合光能：融资净买入112.34万元，融资余额16.66亿元（07-19）,"/news,688599,1332580260.html",天合光能资讯,07-20 07:47
2102,23,天合光能高纪凡：跨界存在风险 应错位竞争避免同质化,"/news,688599,1332321046.html",天合光能资讯,07-19 11:40
118,1,天合光能07月18日获沪股通增持88.76万股,"/news,688599,1332159937.html",天合光能资讯,07-19 09:10
77,2,天合光能：融资净偿还395.09万元，融资余额16.65亿元（07-18）,"/news,688599,1332144045.html",天合光能资讯,07-19 07:42
73,1,天合光能：连续3日融资净买入累计4006.65万元（07-17）,"/news,688599,1331715455.html",天合光能资讯,07-18 07:39
85,1,天合光能本周融资净买入1834.66万元，居光伏设备板块第十三,"/news,688599,1331235993.html",大眼看两融,07-16 03:04
87,1,天合光能本周被沪股通减持36.74万股 最新持股量9217.42万股,"/news,688599,1331230640.html",胖猫周周见,07-16 02:10
189,2,天合光能07月14日获沪股通增持122.42万股,"/news,688599,1331152716.html",天合光能资讯,07-15 09:03
82,0,天合光能：融资净买入2421.03万元，融资余额16.64亿元（07-14）,"/news,688599,1331145464.html",天合光能资讯,07-15 07:42
102,4,天合光能07月13日被沪股通减持63.97万股,"/news,688599,1330709970.html",天合光能资讯,07-14 09:11
65,1,天合光能：融资净买入1138.31万元，融资余额16.4亿元（07-13）,"/news,688599,1330694960.html",天合光能资讯,07-14 07:45
74,1,天合光能07月12日被沪股通减持109.3万股,"/news,688599,1330244236.html",天合光能资讯,07-13 09:18
69,0,天合光能：融资净偿还2057.79万元，融资余额16.29亿元（07-12）,"/news,688599,1330224075.html",天合光能资讯,07-13 07:41
746,3,天合光能拟43亿元投建年产13GW单晶拉棒及配套项目,"/news,688599,1330202074.html",天合光能资讯,07-13 12:37
440,2,天合光能拟投资43亿元建设年产13GW单晶拉棒及配套项目,"/news,688599,1330012866.html",天合光能资讯,07-12 02:23
415,3,补齐一体化上游产能 天合光能再投13GW单晶拉棒及配套项目,"/news,688599,1329853076.html",天合光能资讯,07-12 10:27
74,1,天合光能07月11日被沪股通减持25.56万股,"/news,688599,1329766716.html",天合光能资讯,07-12 09:34
64,1,天合光能：连续3日融资净买入累计1387.48万元（07-11）,"/news,688599,1329730337.html",天合光能资讯,07-12 07:40
